mode,index,mass_g,density_g_per_ml
bulk,1,0.309000,0.206000
bulk,2,0.231000,0.154000
bulk,3,0.314000,0.209333
bulk,4,0.319000,0.212667
bulk,5,0.269000,0.179333
tapped,1,0.347000,0.231333
tapped,2,0.325000,0.216667
tapped,3,0.340000,0.226667
tapped,4,0.349000,0.232667
tapped,5,0.339000,0.226000
