condition,step_index,cumulative_mass_g,per_step_mass_g,success
level4_t1.0,1,0.814000,0.814000,True
level4_t1.0,2,1.433000,0.619000,True
level4_t1.0,3,2.229000,0.796000,True
level4_t1.0,4,2.823000,0.594000,True
level4_t1.0,5,3.461000,0.638000,True
level4_t2.0,1,0.745000,0.745000,True
level4_t2.0,2,1.533000,0.788000,True
level4_t2.0,3,2.135000,0.602000,True
level4_t2.0,4,2.882000,0.747000,True
level4_t2.0,5,3.745000,0.863000,True
