mode,index,mass_g,density_g_per_ml
bulk,1,0.032000,0.426667
bulk,2,0.028000,0.373333
bulk,3,0.039000,0.520000
bulk,4,0.036000,0.480000
bulk,5,0.037000,0.493333
bulk,6,0.031000,0.413333
bulk,7,0.033000,0.440000
tapped,1,0.038000,0.506667
tapped,2,0.035000,0.466667
tapped,3,0.029000,0.386667
tapped,4,0.037000,0.493333
tapped,5,0.035000,0.466667
tapped,6,0.034000,0.453333
tapped,7,0.034000,0.453333
