mode,index,mass_g,density_g_per_ml
bulk,1,0.268000,0.446667
bulk,2,0.437000,0.728333
bulk,3,0.200000,0.333333
bulk,4,0.663000,1.105000
bulk,5,0.008000,0.013333
tapped,1,0.172000,0.286667
tapped,2,0.873000,1.455000
tapped,3,0.913000,1.521667
tapped,4,0.892000,1.486667
tapped,5,0.841000,1.401667
