index,mass_g,density_g_per_ml
1,0.392000,0.653333
2,0.402000,0.670000
3,0.403000,0.671667
4,0.401000,0.668333
5,0.404000,0.673333
6,0.402000,0.670000
7,0.407000,0.678333
