mode,index,mass_g,density_g_per_ml
bulk,1,1.527000,2.545000
bulk,2,1.458000,2.430000
bulk,3,1.465000,2.441667
bulk,4,1.462000,2.436667
bulk,5,1.466000,2.443333
bulk,6,1.455000,2.425000
bulk,7,1.463000,2.438333
tapped,1,1.446000,2.410000
tapped,2,1.393000,2.321667
tapped,3,1.394000,2.323333
tapped,4,1.392000,2.320000
tapped,5,1.401000,2.335000
tapped,6,1.400000,2.333333
tapped,7,1.398000,2.330000
