condition,step_index,cumulative_mass_g,per_step_mass_g,success
level1_t1.0,1,0.253000,0.253000,True
level1_t1.0,2,0.495000,0.242000,True
level1_t1.0,3,0.495000,0.000000,False
level1_t1.0,4,0.492000,-0.003000,False
level1_t1.0,5,0.492000,0.000000,False
level2_t1.0,1,0.000000,0.000000,False
level2_t1.0,2,0.259000,0.259000,True
level2_t1.0,3,0.535000,0.276000,True
level2_t1.0,4,0.806000,0.271000,True
level2_t1.0,5,1.085000,0.279000,True
level3_t1.0,1,0.285000,0.285000,True
level3_t1.0,2,0.347000,0.062000,True
level3_t1.0,3,0.579000,0.232000,True
level3_t1.0,4,0.863000,0.284000,True
level3_t1.0,5,1.161000,0.298000,True
level4_t1.0,1,0.281000,0.281000,True
level4_t1.0,2,0.576000,0.295000,True
level4_t1.0,3,0.864000,0.288000,True
level4_t1.0,4,1.165000,0.301000,True
level4_t1.0,5,1.224000,0.059000,True
