mode,index,mass_g,density_g_per_ml
bulk,1,0.007000,0.093333
bulk,2,0.009000,0.120000
bulk,3,0.011000,0.146667
bulk,4,0.012000,0.160000
bulk,5,0.010000,0.133333
bulk,6,0.011000,0.146667
bulk,7,0.012000,0.160000
tapped,1,0.005000,0.066667
