mode,index,mass_g,density_g_per_ml
bulk,1,0.347000,4.626667
bulk,2,0.294000,3.920000
bulk,3,0.320000,4.266667
bulk,4,0.284000,3.786667
bulk,5,0.330000,4.400000
bulk,6,0.282000,3.760000
bulk,7,0.311000,4.146667
tapped,1,0.244000,3.253333
tapped,2,0.192000,2.560000
tapped,3,0.178000,2.373333
tapped,4,0.176000,2.346667
tapped,5,0.131000,1.746667
tapped,6,0.106000,1.413333
tapped,7,0.150000,2.000000
