index,mass_g,density_g_per_ml
1,0.755000,0.503333
2,0.815000,0.543333
3,0.837000,0.558000
4,0.832000,0.554667
5,0.839000,0.559333
6,0.836000,0.557333
7,0.849000,0.566000
