mode,index,mass_g,density_g_per_ml
bulk,1,0.392000,0.653333
bulk,2,0.404000,0.673333
bulk,3,0.401000,0.668333
bulk,4,0.399000,0.665000
bulk,5,0.402000,0.670000
bulk,6,0.398000,0.663333
bulk,7,0.400000,0.666667
tapped,1,0.459000,0.765000
tapped,2,0.459000,0.765000
tapped,3,0.459000,0.765000
tapped,4,0.453000,0.755000
tapped,5,0.456000,0.760000
tapped,6,0.463000,0.771667
tapped,7,0.463000,0.771667
