mode,index,mass_g,density_g_per_ml
bulk,1,1.181000,0.787333
bulk,2,1.154000,0.769333
bulk,3,0.950000,0.633333
bulk,4,1.157000,0.771333
bulk,5,1.084000,0.722667
tapped,1,1.266000,0.844000
tapped,2,1.452000,0.968000
tapped,3,1.454000,0.969333
tapped,4,1.452000,0.968000
tapped,5,1.460000,0.973333
