condition,step_index,cumulative_mass_g,per_step_mass_g,success
level1_t1.0,1,0.009000,0.009000,True
level1_t1.0,2,0.019000,0.010000,True
level1_t1.0,3,0.025000,0.006000,True
level1_t1.0,4,0.038000,0.013000,True
level1_t1.0,5,0.047000,0.009000,True
level2_t1.0,1,0.011000,0.011000,True
level2_t1.0,2,0.021000,0.010000,True
level2_t1.0,3,0.031000,0.010000,True
level2_t1.0,4,0.043000,0.012000,True
level2_t1.0,5,0.057000,0.014000,True
