condition,step_index,cumulative_mass_g,per_step_mass_g,success
level1_t1.0,1,0.294000,0.294000,True
level1_t1.0,2,0.542000,0.248000,True
level1_t1.0,3,0.796000,0.254000,True
level1_t1.0,4,1.041000,0.245000,True
level1_t1.0,5,1.244000,0.203000,True
level2_t1.0,1,0.282000,0.282000,True
level2_t1.0,2,0.556000,0.274000,True
level2_t1.0,3,0.840000,0.284000,True
level2_t1.0,4,1.126000,0.286000,True
level2_t1.0,5,1.408000,0.282000,True
level3_t1.0,1,0.313000,0.313000,True
level3_t1.0,2,0.613000,0.300000,True
level3_t1.0,3,0.902000,0.289000,True
level3_t1.0,4,1.187000,0.285000,True
level3_t1.0,5,1.488000,0.301000,True
level4_t1.0,1,0.000000,0.000000,False
level4_t1.0,2,0.000000,0.000000,False
level4_t1.0,3,0.000000,0.000000,False
level4_t1.0,4,0.000000,0.000000,False
level4_t1.0,5,0.000000,0.000000,False
