mode,index,mass_g,density_g_per_ml
bulk,1,1.426000,2.376667
bulk,2,1.437000,2.395000
bulk,3,1.433000,2.388333
bulk,4,1.435000,2.391667
bulk,5,1.436000,2.393333
tapped,1,1.723000,2.871667
tapped,2,1.463000,2.438333
tapped,3,1.470000,2.450000
tapped,4,1.477000,2.461667
tapped,5,1.462000,2.436667
