index,mass_g,density_g_per_ml
1,0.799000,0.532667
2,0.832000,0.554667
3,0.842000,0.561333
4,0.863000,0.575333
5,0.859000,0.572667
6,0.852000,0.568000
7,0.872000,0.581333
