condition,step_index,cumulative_mass_g,per_step_mass_g,success
level2_t1.0,1,0.282000,0.282000,True
level2_t1.0,2,0.550000,0.268000,True
level2_t1.0,3,0.837000,0.287000,True
level2_t1.0,4,1.107000,0.270000,True
level2_t1.0,5,1.386000,0.279000,True
level3_t1.0,1,0.192000,0.192000,True
level3_t1.0,2,0.443000,0.251000,True
level3_t1.0,3,0.713000,0.270000,True
level3_t1.0,4,0.984000,0.271000,True
level3_t1.0,5,1.263000,0.279000,True
level4_t1.0,1,0.281000,0.281000,True
level4_t1.0,2,0.553000,0.272000,True
level4_t1.0,3,0.843000,0.290000,True
level4_t1.0,4,1.105000,0.262000,True
level4_t1.0,5,1.382000,0.277000,True
