mode,index,mass_g,density_g_per_ml
bulk,1,0.600000,1.000000
bulk,2,0.300000,0.500000
bulk,3,0.034000,0.056667
bulk,4,0.145000,0.241667
bulk,5,0.085000,0.141667
tapped,1,0.770000,1.283333
tapped,2,0.815000,1.358333
tapped,3,0.839000,1.398333
tapped,4,0.839000,1.398333
tapped,5,0.935000,1.558333
