index,mass_g,density_g_per_ml
1,0.368000,0.613333
2,0.109000,0.181667
3,0.111000,0.185000
4,0.107000,0.178333
5,0.118000,0.196667
6,0.115000,0.191667
7,0.129000,0.215000
