mode,index,mass_g,density_g_per_ml
bulk,1,0.317000,0.528333
bulk,2,0.313000,0.521667
bulk,3,0.314000,0.523333
bulk,4,0.313000,0.521667
bulk,5,0.316000,0.526667
tapped,1,0.419000,0.698333
tapped,2,0.389000,0.648333
tapped,3,0.389000,0.648333
tapped,4,0.382000,0.636667
tapped,5,0.391000,0.651667
