index,mass_g,density_g_per_ml
1,0.456000,0.760000
2,0.476000,0.793333
3,0.474000,0.790000
4,0.467000,0.778333
5,0.472000,0.786667
6,0.464000,0.773333
7,0.469000,0.781667
