mode,index,mass_g,density_g_per_ml
bulk,1,0.951000,1.585000
bulk,2,0.627000,1.045000
bulk,3,0.057000,0.095000
bulk,4,0.038000,0.063333
bulk,5,0.017000,0.028333
tapped,1,0.552000,0.920000
tapped,2,0.842000,1.403333
tapped,3,0.883000,1.471667
tapped,4,0.843000,1.405000
tapped,5,0.832000,1.386667
