mode,index,mass_g,density_g_per_ml
bulk,1,1.435000,2.391667
bulk,2,1.430000,2.383333
bulk,3,1.436000,2.393333
bulk,4,1.422000,2.370000
bulk,5,1.439000,2.398333
tapped,1,1.701000,2.835000
tapped,2,1.437000,2.395000
tapped,3,1.441000,2.401667
tapped,4,1.442000,2.403333
tapped,5,1.443000,2.405000
