mode,index,mass_g,density_g_per_ml
bulk,1,0.161000,0.107333
bulk,2,0.039000,0.026000
bulk,3,0.028000,0.018667
bulk,4,0.035000,0.023333
bulk,5,0.036000,0.024000
tapped,1,0.868000,0.578667
tapped,2,1.503000,1.002000
tapped,3,1.534000,1.022667
tapped,4,1.574000,1.049333
tapped,5,1.506000,1.004000
