mode,index,mass_g,density_g_per_ml
tapped,1,0.064000,0.853333
tapped,2,0.060000,0.800000
tapped,3,0.063000,0.840000
tapped,4,0.060000,0.800000
tapped,5,0.063000,0.840000
tapped,6,0.061000,0.813333
tapped,7,0.059000,0.786667
