condition,step_index,cumulative_mass_g,per_step_mass_g,success
level1_t1.0,1,3.419000,3.419000,True
level1_t1.0,2,6.835000,3.416000,True
level1_t1.0,3,10.047000,3.212000,True
level1_t1.0,4,13.300000,3.253000,True
level1_t1.0,5,16.544000,3.244000,True
level1_t1.0,6,19.783000,3.239000,True
level1_t1.0,7,23.000000,3.217000,True
