index,mass_g,density_g_per_ml
1,0.238000,3.173333
2,0.232000,3.093333
3,0.236000,3.146667
4,0.237000,3.160000
5,0.236000,3.146667
6,0.251000,3.346667
7,0.245000,3.266667
