mode,index,mass_g,density_g_per_ml
bulk,1,0.301000,0.501667
bulk,2,0.304000,0.506667
bulk,3,0.304000,0.506667
bulk,4,0.304000,0.506667
bulk,5,0.299000,0.498333
tapped,1,0.382000,0.636667
tapped,2,0.358000,0.596667
tapped,3,0.358000,0.596667
tapped,4,0.370000,0.616667
tapped,5,0.000000,0.000000
