mode,index,mass_g,density_g_per_ml
bulk,1,0.045000,0.075000
bulk,2,0.150000,0.250000
bulk,3,0.063000,0.105000
bulk,4,0.405000,0.675000
bulk,5,0.255000,0.425000
tapped,1,0.252000,0.420000
tapped,2,0.305000,0.508333
