condition,step_index,cumulative_mass_g,per_step_mass_g,success
level1_t1.0,1,0.257000,0.257000,True
level1_t1.0,2,0.514000,0.257000,True
level1_t1.0,3,0.767000,0.253000,True
level1_t1.0,4,0.907000,0.140000,True
level1_t1.0,5,0.933000,0.026000,True
level2_t1.0,1,0.288000,0.288000,True
level2_t1.0,2,0.566000,0.278000,True
level2_t1.0,3,0.852000,0.286000,True
level2_t1.0,4,1.135000,0.283000,True
level2_t1.0,5,1.414000,0.279000,True
level3_t1.0,1,0.301000,0.301000,True
level3_t1.0,2,0.611000,0.310000,True
level3_t1.0,3,0.917000,0.306000,True
level3_t1.0,4,1.213000,0.296000,True
level3_t1.0,5,1.502000,0.289000,True
level4_t1.0,1,0.306000,0.306000,True
level4_t1.0,2,0.619000,0.313000,True
level4_t1.0,3,0.929000,0.310000,True
level4_t1.0,4,1.230000,0.301000,True
level4_t1.0,5,1.532000,0.302000,True
