condition,step_index,cumulative_mass_g,per_step_mass_g,success
level1_t1.0,1,0.898000,0.898000,True
level1_t1.0,2,1.808000,0.910000,True
level1_t1.0,3,2.700000,0.892000,True
level1_t1.0,4,3.600000,0.900000,True
level1_t1.0,5,4.473000,0.873000,True
level2_t1.0,1,0.907000,0.907000,True
level2_t1.0,2,1.870000,0.963000,True
level2_t1.0,3,2.786000,0.916000,True
level2_t1.0,4,3.725000,0.939000,True
level2_t1.0,5,4.643000,0.918000,True
