mode,index,mass_g,density_g_per_ml
bulk,1,0.262000,0.436667
bulk,2,0.447000,0.745000
bulk,3,0.261000,0.435000
bulk,4,0.248000,0.413333
bulk,5,0.239000,0.398333
tapped,1,0.258000,0.430000
tapped,2,0.315000,0.525000
tapped,3,0.305000,0.508333
tapped,4,0.305000,0.508333
tapped,5,0.312000,0.520000
